"18","NAY","31/03/2016","18","NAYARIT","343","1.097.302,75","31","867.453,37","23","118.469,20","6","77.738,28","1.964.756,11","675.538,99","1.270.879,05","17.113,76","6.704,03","558,12","117.14","36.816","80.15","622.432,24","1.270.879,05","6.331,72","25.121","75.546","89","2.786","4.815","30.329,37","0.0819","S"
"19","NL","31/03/2016","19","NUEVO LEON","585","1.881.282,75","13","93.236,59","9","19.447,00","1","760,79","1.974.519,34","533.481,53","1.411.031,00","28.533,55","20.905,22","7.188,35","74.775","30.43","44.671","541.440,14","1.411.031,00","13.082,18","7.618","39.535","149","5.155","9.919","148.308,34","0.0819","U"
"20","OAX","31/03/2016","20","OAXACA","786","1.450.324,23","544","3.543.284,43","67","216.510,49","189","2.316.362,62","4.993.608,66","1.021.997,47","3.856.162,44","82.908,41","53.625,65","9.818,94","252.76","183.39","131.76","831.326,20","3.856.162,44","19.433,11","84.819","213.82","100","2.031","3.388","9.566,82","0.0819","U"
"21","PUE","31/03/2016","21","PUEBLA","1.022","1.140.443,19","98","215.873,86","52","100.995,17","27","124.920,17","1.356.317,05","663.725,76","665.014,34","25.920,02","20.222,93","620,40","387.60","121.65","125.44","594.328,39","665.014,34","16.017,36","68.475","185.14","256","9.748","15.328","25.482,47","0.0819","V"
"22","QRO","31/03/2016","22","QUERETARO","359","508.064,04","11","31.854,56","5","10.905,36","5","25.583,68","539.918,60","189.183,72","335.513,75","13.803,01","7.773,76","221,21","89.269","29.585","56.453","185.119,78","335.513,75","8.007,93","15.523","59.096","170","5.54","9.122","31.160,65","0.0819","X"
"23","QROO","31/03/2016","23","QUINTANA ROO","281","2.932.152,88","0","0,00","1","58,16",,,"2.932.152,88","34.325,85","2.827.213,09","55.347,52","14.781,22","29.699,92","9.77","34.111","66.616","81.564,18","2.827.213,09","16.859,89","13.738","46.022","16","1.388","3.63","42.164,85","0.0819","Y"
"24","SLP","31/03/2016","24","SAN LUIS POTOSI","1.239","3.845.411,48","150","85.468,46","41","155.004,24","14","59.065,75","3.930.879,94","1.142.930,09","2.711.803,34","74.999,63","52.429,13","12.862,33","343.44","92.67","157.57","1.081.814,59","2.711.803,34","40.147,11","33.961","159.19","153","3.26","6.447","30.315,48","0.9708","Z"
"25","SIN","31/03/2016","25","SINALOA","1.203","3.225.154,59","96","558.892,67","11","15.751,69","3","6.852,66","3.784.047,25","1.775.619,67","1.962.111,66","44.490,00","2.126,04","326,12","199.11","83.421","37.602","1.697.119,24","1.962.111,66","3.661,68","39.696","133.72","266","5.426","8.81","81.108,59",,
"26","SON","31/03/2016","26","SONORA","929","5.210.945,17","38","563.777,74","26","138.550,17","12","571.595,52","5.774.722,90","695.148,99","4.987.807,04","29.670,67","15.729,22","8.463,52","76.14","60.054","48.693","1.226.675,23","4.987.807,04","6.319,82","22.717","69.16","191","4.646","8.998","370.116,49",,
"27","TAB","31/03/2016","27","TABASCO","793","1.090.493,64","1","1.547,80","16","26.298,61","1","2.383,07","1.092.041,44","905.360,00","174.146,83","12.442,03","8.633,36","831,26","159.59","13.419","63.744","851.556,55","174.146,83","6.942,08","44.118","93.543","191","5.363","7.132","40.799,72",,
